OBJECTID,Match_type,Ref_ID,ID1,Id,SchoolId,Name,Address,City,Zipcode,Contact,PhoneNumbe,YearBuilt,NumStories,Cost,NumStudent,BackupPowe,ShelterCap,Latitude,Longitude,Comment,X,Y,NumStudent12,CampusHous,NumStudents13,URL,Address2013
1,NCES,0,"Fruit St, Boston, Massachusetts 02114-2696",98627,431594,Massachusetts General Hospital Dietetic Internship,"Fruit St, Boston, Massachusetts 02114",West End,365190,MASS GEN EYE * EAR INF,(617) 726-2589,1899,13,106836600,10,0, ,42.36259065,-71.07014072,0300381001,772340.99986702,2957450.0000556,, ,20,N/A,
2,NCES & Consortium,0,"8 Ashburton Place, Boston, Massachusetts 02108-27*",11959,168005,Suffolk University,"8 Ashburton Pl Beacon Hill, Boston, Massachusetts 02108",Boston,149016,SUFFOLK UNIVERSITY TRSTS OF,(617) 573-8000,1899,12,21673500,9148,0, ,42.35890485,-71.0619481,0302802001,774562.02593677,2956118.08441235,9101,21%,8675,http://www.suffolk.edu,
3,NCES & Consortium,0,"41 Berkeley St, Boston, Massachusetts 02116",16632,165884,Benjamin Franklin Institute of Technology,"41 Berkeley St, Boston, Massachusetts 02116",South End,78750,CITY OF BOSTON,(617) 423-4630,1920,4,15975800,594,0, ,42.34610271,-71.07018646,0500688000,772358.91485744,2951441.41397569,472, ,482,http://www.bfit.edu,
4,NCES & Consortium,0,"250 New Rutherford Ave, Boston, Massachusetts 021*",1949,165112,Bunker Hill Community College,"250 New Rutherford Ave, Boston, Massachusetts 02129",Charlestown,203509,COMMONWEALTH OF MASS,(617) 228-2000,1899,4,17181400,11009,0, ,42.37511654,-71.06957165,0202170000,772471.7597761,2962015.46664644,12934, ,14023,http://www.bhcc.mass.edu,
5,NCES & Consortium,0,"36 1st Avenue, Boston, Massachusetts 02129-4557",9109,166869,MGH Institute of Health Professions,"36 1st Avenue, Boston, Massachusetts 02129",Charlestown,70077,MGH INSTITUTE OF HEALTH,(617) 726-3140,1899,3.5,9386500,900,0, ,42.37491705,-71.05397174,0203504000,776687.32122685,2961964.42442569,928, ,1096,http://www.mghihp.edu,
6,NCES & Consortium,0,"400 The Fenway, Boston, Massachusetts 02115",86640,165671,Emmanuel College,"400 Fenway, Massachusetts 02115",Fenway/Kenmore,52212,EMMANUEL COLLEGE TRUSTEES,(617) 735-9715,1899,3,99370400,2454,0, ,42.34151633,-71.10347795,0401847000,763367.00600402,2949726.45415102,2519,48%,2436,http://www.emmanuel.edu,
7,NCES & Consortium,0,"230 The Fenway, Boston, Massachusetts 02115-5596",86302,166984,School of the Museum of Fine Arts-Boston,"230 The Fenway, Boston, Massachusetts 02115",Fenway/Kenmore,113496,MUSEUM OF FINE ARTS,(617) 267-6100,1987,3,8437121,754,0, ,42.33853793,-71.09669362,0401806000,765206.27693177,2948649.67087152,747,14%,651,http://www.smfa.edu,
8,NCES & Consortium,0,"300 The Fenway, Boston, Massachusetts 02115-5898",86125,167783,Simmons,"300 Fenway, Boston, Massachusetts 02115",Fenway/Kenmore,240740,SIMMONS COLLEGE,(617) 521-2000,1976,4,55553100,5003,0, ,42.33918733,-71.0999399,0401842000,764327.4965371,2948882.18812302,4829,75%,4900,http://www.simmons.edu,
9,NCES & Consortium,0,"One Silber Way, Boston, Massachusetts 02215",15422,164988,Boston University,"One Silber Way, Boston, Massachusetts 02215",Fenway/Kenmore,593154,BOSTON UNIVERSITY TRSTS OF,(617) 353-2000,1996,8,66943300,31960,0, ,42.34955975,-71.09970931,0503991000,764372.1007786,2952662.39119252,32439,74%,32411,http://www.bu.edu,
10,NCES & Consortium,0,"8 the Fenway, Boston, Massachusetts 02215",22285,164933,The Boston Conservatory,"8 Fenway, Boston, Massachusetts 02215",Fenway/Kenmore,35350,BOSTON CONSERVATRY MUSIC,(617) 536-6340,1899,6,4900600,682,0, ,42.34605822,-71.09001133,0401795000,766999.74480152,2951398.81629185,710,29%,774,http://www.bostonconservatory.edu,
11,NCES,0,"200 Riverway, Boston, Massachusetts 02215-4176",86683,168290,Wheelock College,"200 the Riverway, Boston, Massachusetts 02215",Fenway/Kenmore,75256,WHEELOCK SCHOOL,(617) 734-5200,1925,3,11614900,1055,0, ,42.34174,-71.10642,0402011000,762571.24873727,2949804.27847044,1285,70%,1378,http://www.wheelock.edu,
12,NCES,0,"1234 Columbus Ave, Roxbury Crossing, Massachusett*",89176,167631,Roxbury Community College,"1234 Columbus Ave, Roxbury Crossing, Massachusetts 02120",Roxbury,144812,BOARD OF REGENTS OF,(617) 427-0060,1986,5,30893400,2749,0, ,42.32923535,-71.09549441,1100029000,765546.5748076,2945261.17371152,2744, ,2437,http://www.rcc.mass.edu,
13,NCES & Consortium,0,"100 Morrissey Boulevard, Boston, Massachusetts 02*",91520,166638,University of Massachusetts-Boston,"100 Morrissey Blvd, Boston, Massachusetts 02125",North Dorchester,264200,COMMONWEALTH OF MASS,(617) 287-5000,1960,5,195575300,14912,0, ,42.31380935,-71.03920216,1303400000,780798.45473685,2939716.90461635,15741, ,16277,http://www.umb.edu,
14,Consortium,0,,15399,0,Boston University Research,771 Commonwealth Ave,Fenway/Kenmore,0,BOSTON UNIVERSITY TRSTS,(617)-353-3696,0,5,1484500,0,0, ,42.35083298,-71.10900119,2100360000,761858.23671185,2953114.72952669,,,0,,
15,Consortium,0,,15400,0,Boston University School of Law,1 University Rd,Fenway/Kenmore,54767,BOSTON UNIVERSITY TRSTS,(617)-353-9000,1931,3,5529700,0,0, ,42.35116191,-71.10977291,2100392000,761649.0845711,2953233.64333085,,,0,http://www.bu.edu/law/about/overview.html,
