X,Y,OBJECTID,Count_,Int_Number,Location,Dist
-71.062317918922304,42.364847162889546,588,297,303,Causeway St. & Portland St.,BP
-71.096996772983573,42.328161153412076,589,300,1077,Cedar St. & Columbus Ave.,RX
-71.088805550895941,42.324225404720757,590,301,64,Cedar St. & Washington St.,RX
-71.121297818633209,42.255887891448772,591,303,1132,Central Ave. & River St.,HP
-71.146507289340263,42.287685928438371,592,307,439,Centre St. & Colbert St.,WR
-71.154880032552526,42.28616438392713,593,308,272,Centre St. & Corey St.,WR
-71.158175806096494,42.280696290018277,594,309,261,Centre St. & LaGrange St.,WR
-71.10057475469263,42.322832281750337,595,310,805,Centre St. & Lamartine St.,RX
-71.104887486726938,42.322734689458429,596,311,1090,Centre St. & Mozart St.,RX
-71.095668392904315,42.327686616550977,597,302,1017,"Cedar St., Centre St., & Fort Ave.",RX
-71.157292514363888,42.282893073898663,598,312,1779,Centre St. & Mt. Vernon St.,WR
-71.156462965694956,42.285133914979809,599,313,1687,Centre St. & Park St.,WR
-71.039069438413065,42.374180928676957,600,305,170,"Central Sq., Meridian St., & Saratoga St.",EB
-71.144714103836066,42.288227846618767,601,315,513,Centre St. & South St.,WR
-71.098397216459247,42.324942786420095,602,318,196,"Centre St., Columbus Ave., & Heath St.",RX
-71.13603390492554,42.29444697787072,603,316,353,Centre St. & Weld St.,WR
-71.098397216459247,42.324942786420095,604,319,287,"Centre St., Columbus Ave., & Ritchie St.",RX
-71.152194484284692,42.28753932076031,605,317,1493,Centre St. & Willow St.,WR
-71.069881719795603,42.357033786855695,606,330,140,Charles St. & Chestnut St.,BP
-71.108493216780815,42.322377949718778,607,320,1089,"Centre St., Creighton St., & Forbes St.",RX
-71.070298114104574,42.357792711940178,608,331,141,Charles St. & Mt. Vernon St.,BP
-71.115548748283828,42.309760342967955,609,321,242,"Centre St., Eliot St., & South St.",WR
-71.070727534788602,42.358814431886934,610,332,142,Charles St. & Pinckney St.,BP
-71.114100465553221,42.313240481712448,611,323,293,"Centre St., Green St., & Myrtle St.",WR
-71.070761372932083,42.359484801707431,612,333,143,Charles St. & Revere St.,BP
-71.159434984122612,42.27885255134737,613,324,620,"Centre St., Lorette St., & St. Theresa Ave.",WR
-71.066857230331863,42.350963617095168,614,335,1732,Charles St. South & Stuart St.,BP
-71.07207334886904,42.290243445603316,615,325,225,"Centre St., Norfolk St., Talbot Ave., & Washington St. (Codman Sq.)",DO
-71.05666863626935,42.368228205917539,616,341,537,Charter St. & Commercial St.,BP
-71.160063972315044,42.27827403269707,617,326,275,"Centre St., Spring St., & Temple St.",WR
-71.059261557290739,42.354581517812704,618,342,59,Chauncy St. & Summer St.,BP
-71.073214645997666,42.309652080117118,619,327,995,"Ceylon St., Columbia Rd., & Columbia Terrace",DO
-71.058305377937018,42.373765156366559,620,343,4037,Chelsea St. & Constitution Rd.,CH
-71.067500804741883,42.352512196427966,621,329,9008,"Charles Circle, Charles St., & Storrow Dr. Ramp",BP
-71.056288075789269,42.375323887533035,622,344,3038,Chelsea St. & Fifth St.,CH
-71.066629841808137,42.348791354836862,623,336,1783,"Charles St. South, Jefferson St., & Tremont St.",BP
-71.033415267431891,42.374523098045977,624,345,445,Chelsea St. & Marion St.,EB
-71.09158809686285,42.348845064660615,625,337,3090,Charlesgate East & Commonwealth Ave.,BP
-71.029192540794853,42.378164449241176,626,346,2311,Chelsea St. & Prescott St.,EB
-71.09158809686285,42.348845064660615,627,338,3091,Charlesgate East & Commonwealth Ave.,BP
-71.052046468116515,42.379549628813137,628,347,4053,Chelsea St. & Sixteenth St.,CH
-71.09158809686285,42.348845064660615,629,339,3088,Charlesgate West & Commonwealth Ave.,BP
-71.05261060898053,42.378798917022735,630,348,3039,Chelsea St. & Thirteenth St.,CH
-71.09158809686285,42.348845064660615,631,340,3089,Charlesgate West & Commonwealth Ave.,BP
-71.060510549913715,42.372243931232831,632,349,2339,Chelsea St. & Warren St.,CH
-71.035038122177269,42.373134986798995,633,352,396,"Chelsea St., George R. Visconti Rd., & Porter St.",EB
-71.070002850038549,42.330537216555541,634,354,1157,Chesterton St. & Massachusetts Ave.,RX
-71.153849110932782,42.342634267098802,635,357,2070,"Chestnut Hill Ave., Hatherly Rd., & Engine #29",AB
-71.153161849213632,42.337985081139919,636,355,182,Chestnut Hill Ave. & Commonwealth Ave.,AB
-71.153436017763411,42.349086420998511,637,358,184,"Chestnut Hill Ave., Market St., & Washington St.",AB
-71.154533207561499,42.341572304787832,638,356,713,Chestnut Hill Ave. & Embassy Rd.,AB
-71.155287530316116,42.34038843618869,639,359,631,"Chestnut Hill Ave., South St., & Strathmore Rd.",AB
-71.115212621849082,42.306668660357566,640,360,809,Child St. & South St.,WR
-71.075998263333631,42.352302360707455,641,365,3044,Clarendon St. & Commonwealth Ave.,BP
-71.15113996138291,42.340306636959532,642,361,453,Chiswick Rd. & Commonwealth Ave.,AB
-71.075998263333631,42.352302360707455,643,366,3045,Clarendon St. & Commonwealth Ave.,BP
-71.068660254335185,42.350513918859399,644,362,347,Church St. & Stuart St,BP
-71.081799522125351,42.320765062103966,645,372,1204,"Clifford St., Dale St., & Warren St.",RX
-71.149373750565616,42.293100283556555,646,363,687,Church St. & Weld St.,WR
-71.120549215950078,42.27032608494639,647,376,568,"Collins St., Hyde Park Ave., & Metropolitan Ave.",HP
-71.073503467542508,42.347281045345952,648,364,1639,Clarendon St. & Columbus Ave.,BP
-71.065215019196856,42.317070314939549,649,387,223,"Columbia Rd., Dudley St., & Stoughton St. (Uphams Corner)",DO
-71.07656606982799,42.353453542136897,650,367,679,Clarendon St. & Marlborough St.,BP
-71.094496079984268,42.331437747055531,651,398,192,"Columbus Ave., Malcolm X Blvd., & Tremont St.",RX
-71.075601611802455,42.351490703721723,652,368,742,Clarendon St. & Newbury St.,BP
-71.095063281101744,42.313386628940172,653,399,616,"Columbus Ave., Seaver St., & Walnut Ave.",RX
-71.074803310461775,42.349859135247165,654,369,707,Clarendon St. & St. James Ave.,BP
-71.078139815623175,42.351718196399503,655,417,3046,Commonwealth Ave. & Dartmouth St.,BP
-71.074358696406733,42.348960313450668,656,370,466,Clarendon St. & Stuart St.,BP
-71.080279662522528,42.351138106687365,657,418,4010,Commonwealth Ave. & Exeter St.,BP
-71.071824840659275,42.343877613180915,658,371,1250,Clarendon St. & Tremont St.,BP
-71.082595023086498,42.350515393262441,659,419,4008,Commonwealth Ave. & Fairfield St.,BP
-71.055852595745563,42.360810670749814,660,373,4108,Clinton St. & North St.,BP
-71.084538333461325,42.349995565027157,661,420,4006,Commonwealth Ave. & Gloucester St.,BP
-71.086052267531997,42.34957911598152,662,422,4004,Commonwealth Ave. & Hereford St.,BP
-71.145936285378497,42.341937184420495,663,375,1206,Colborne Rd. & Commonwealth Ave.,AB
-71.078139815623175,42.351718196399503,664,423,3047,Commonwealth Ave. & Dartmouth St.,BP
-71.075939532075353,42.30749019638678,665,377,1164,Columbia Rd. & Devon St.,DO
-71.05678388544672,42.320656227773398,666,378,221,Columbia Rd. & Dorchester Ave.,DO
-71.080279662522528,42.351138106687365,667,424,4011,Commonwealth Ave. & Exeter St.,BP
-71.078215832622476,42.306048311455747,668,380,541,Columbia Rd. & Geneva Ave,DO
-71.082595023086498,42.350515393262441,669,425,4009,Commonwealth Ave. & Fairfield St.,BP
-71.06631842183927,42.315798469722964,670,381,226,Columbia Rd. & Hancock St.,DO
-71.084538333461325,42.349995565027157,671,426,4007,Commonwealth Ave. & Gloucester St.,BP
-71.059718910256052,42.319980328477676,672,382,448,Columbia Rd. & Pond St.,DO
-71.16145669403862,42.340179693097625,673,427,1789,Commonwealth Ave. & Greycliff St.,AB
-71.070040972363159,42.311281919172032,674,383,371,Columbia Rd. & Quincy St.,DO
-71.086052267531997,42.34957911598152,675,428,4005,Commonwealth Ave. & Hereford St.,BP
-71.082331185859303,42.304145200117517,676,384,229,Columbia Rd. & Seaver St.,DO
-71.118526522738364,42.351556044199526,677,429,1422,"Commonwealth Ave., Harry Agganis Way, & Pleasant St.",BP
-71.080460717571754,42.305353345647227,678,385,144,Columbia Rd. & Washington St.,DO
-71.139932192232109,42.348483769616941,679,430,323,"Commonwealth Ave., Kelton St., & Warren St.",AB
-71.150334106741326,42.340845461641244,680,431,1191,"Commonwealth Ave., Kinross St., & Wallingford Rd.",AB
-71.166146258327615,42.340108339404843,681,432,879,"Commonwealth Ave., Lake St., & St. Thomas Moore Rd.",AB
-71.07806594192671,42.340535048055891,682,433,1620,"Concord Sq., Tremont St., & West Concord St.",BP
-71.045880769525454,42.348768880992203,683,443,4056,"Congress St., East Service Rd., & Ramp CI",SB
-71.058375701937962,42.362532558745514,684,444,1685,"Congress St., New Sudbury St., & Sudbury St.",BP
-71.057135608536257,42.360240099578512,685,445,26,"Congress St., North St., & Union St",BP
-71.136495920564059,42.288008677799176,686,447,1205,"Congreve St., South St., & Washington St.",WR
-71.058064807122889,42.36353775772929,687,448,4095,"Cooper St., Cross St., North Washington St., & Ramp ST-SA  (Monitor #34)",BP
-71.081902684020164,42.321731364266441,688,449,712,"Copeland St., Warren St., & Waverly St.",RX
-71.128945730471997,42.285710346799114,689,453,251,"Corinth St., Poplar St., & Washington St.",WR
-71.057797683081233,42.358842278081653,690,455,25,"Court St., State St., & Washington St.",BP
-71.056736739035969,42.318676165896086,691,457,523,"Crescent Ave., Dorchester Ave., & East Cottage St.",DO
-71.054834320790206,42.362239137743266,692,459,301,"Cross St., North St., & Ramp CN-SA  (Monitor #1961)",BP
-71.056267604849296,42.362984762696136,693,460,292,"Cross St., Salem St., & Sudbury St.  (Monitor #4094)",BP
-71.082999814984106,42.344311528976661,694,461,4000,Cumberland St. & Huntington Ave.,BP
-71.082999814984106,42.344311528976661,695,462,4001,Cumberland St. & Huntington Ave.,BP
-71.109196713372185,42.27435276255509,696,470,906,"Cummins Hwy., Harvard St., & Wood Ave.",DO
-71.104628336463733,42.271352195478343,697,471,346,"Cummins Hwy., Itasca St., & Ridlon Rd.",DO
-71.096177854764278,42.269028694465412,698,472,952,"Cummins Hwy., Rexford St., & Rockdale St.",DO
-71.039276904827133,42.349011352789113,699,485,606,"D St., Northern Ave., & Seaport Blvd. at Boston Fish Pier",SB
-71.076900220310108,42.349300213519705,700,493,81,"Dartmouth St., Huntington Ave., & St. James Ave.",BP
-71.073747893116035,42.342847489211671,701,494,145,"Dartmouth St., Tremont St., & West Dedham St.",BP
-71.083963442384118,42.33735143084207,702,495,1155,"Davenport St., Hammond St., & Tremont St.",RX
-71.079277193246483,42.328575398279774,703,497,4060,"Dearborn St., Dudley St., & Mt. Pleasant St.",RX
-71.058434851218152,42.307581369537793,704,517,222,"Dorchester Ave., East St., Freeport St., Hancock St., & Hoyt St.",DO
-71.056912208893166,42.328043188354847,705,518,1050,"Dorchester Ave., Father Anthony Songin Way, & Major O'Connor Way",SB
-71.060298804196378,42.299793144164624,706,519,2301,"Dorchester Ave., Faulkner St., & Lincoln St.",DO
-71.063135078112808,42.289960773917954,707,520,1168,"Dorchester Ave., Lonsdale St., & Welles Ave.",DO
-71.061365957703416,42.296124926170776,708,521,673,"Dorchester Ave., Melville Ave., & Parkman St.",DO
-71.045467896709297,42.335472091194369,709,526,175,"Dorchester St., East Broadway, & West Broadway (Perkins Sq.)",SB
-71.072207885950107,42.321382175054715,710,532,754,"Dudley St., East Cottage St., & West Cottage St.",DO
-71.071170057971102,42.286300876829209,711,534,4029,"Dunbar Ave., Roslin St., & Washington St.",DO
-71.067184497544019,42.377657817294534,712,535,3134,"Dunstable St., Main St., & Sullivan St.",CH
-71.039932347745122,42.335578475155359,713,542,1008,"East Broadway, Emerson St., & I St.",SB
-71.072486114292857,42.339624660866434,714,544,650,"East Brookline St., Washington St., & West Brookline St.",BP
-71.03547404270266,42.337339300301259,715,549,991,"East First St., L St., & Summer St.",SB
-71.073602871812369,42.338877609920658,716,551,383,"East Newton St., Washington St., & West Newton St.",BP
-71.043925246315666,42.351009350827866,717,552,3107,"East Service Rd., Pier Four Blvd., &  Seaport Blvd.",SB
-71.108586169350218,42.311158969165859,718,555,435,"Elm St., Green St., & Lamartine St.",WR
-71.143696486056982,42.272905236386457,719,557,255,"Enneking Pkwy., LaGrange St., & Washington St.",WR
-71.143696486056982,42.272905236386457,720,558,254,"Enneking Pkwy., Washington St., & West Roxbury Pkwy.",WR
-71.058013326878168,42.352338217753811,721,564,1291,"Essex St., Lincoln St., & Surface Rd.",BP
-71.146172475245734,42.35542921693964,722,565,1259,"Etna St., Life St., & North Beacon St.",AB
-71.08170397772966,42.331970964741075,723,567,1007,"Eustis St., Washington St., & Williams St.",RX
-71.097863071171929,42.338703028872466,724,569,9003,"Evans Way, Fenway, & Louis Prang St.",BP
-71.078718768077138,42.347826162349449,725,575,82,"Exeter St., Huntington Ave., & Stuart St.",BP
-71.091044091112366,42.277828122799328,726,584,985,"Fessenden St., Mildred Ave., & Norfolk St.",DO
-71.125800789215077,42.288634468099623,727,585,978,"Firth Rd., South St., & Washington St.",WR
-71.101564015065676,42.312500040010676,728,588,711,"Forest Hills St., Montebello Rd., & Washington St.",WR
-71.092318054828425,42.339110142767282,729,590,569,"Forsyth Way, Huntington Ave., & Parker St.",RX
-71.130401843579094,42.361977746782436,730,594,1183,"Franklin St., Kingsley St., & North Harvard St.",AB
-71.104571096757155,42.309452798778182,731,608,241,"Glen Rd., Green St., & Washington St.",WR
-71.080471725320493,42.296404115778316,732,609,1081,"Glenway St., Harvard St., & Warner St.",DO
-71.121071055897474,42.265932390212477,733,615,1469,"Greenwood Ave., Hyde Park Ave., & Thatcher St.",HP
-71.096109254656,42.331656140425551,734,618,1972,"Gurney St., Terrace St., & Tremont St.",RX
-71.075014203162866,42.329098043289136,735,620,709,"Hampden St., Keegan St., & Norfolk Ave.",RX
-71.054645254796327,42.363649423547322,736,622,35,"Hanover St., Parmenter St., & Richmond St.",BP
-71.079753250091855,42.347021660241715,737,623,4002,"Harcourt St., Huntington Ave., & Ring Rd.",BP
-71.062957636834398,42.347070625471716,738,633,395,"Harrison Ave., Hudson St., & Marginal Rd.",BP
-71.068604721475253,42.340192595416809,739,634,390,"Harrison Ave., Malden St., & Msgr. Reynolds Way",BP
-71.075961681863362,42.30087145862403,740,635,608,"Harvard Ave., Vassar St., & Washington St.",DO
-71.091882828782559,42.309685405926636,741,651,432,"Humboldt Ave., Old Trail Rd., & Seaver St.",RX
-71.088951291325444,42.340455806982916,742,657,4019,Huntington Ave. & Opera Place,RX
-71.088951291325444,42.340455806982916,743,658,4020,Huntington Ave. & Opera Place,RX
-71.095562653513412,42.33769602777452,744,661,3096,"Huntington Ave., Louis Prang St., & Ruggles St.",RX
-71.109316290640919,42.333279616705767,745,662,613,"Huntington Ave., Mission Park Dr., & Parker Hill Ave.",RX
-71.066428066921489,42.272405680341059,746,15,475,Adams St @ #1185,DO
-71.060291175110876,42.348937399412463,747,29,4110,Albany St & South Station Connector,BP
